id,tipo,tipo_val,estado,fxf,vut,valuacion,superficie_urbano,valuacion_urbano,superficie_rural,valuacion_rural,superficie_mejoras,valuacion_mejoras,departamento,pedania,localidad,bbox,Propietario,direccion,TextoReclamo,ValorReclamo,idParcela,Valuacion_Danios,Validado
2519551,URBANO,VAL. URBANO,BALDIO,0.5,735,740795.48,2015.77,740795.48,0.0,0.0,0.0,0.0,PUNILLA,SAN ROQUE,,"[(-31.471855576294388, -64.56938225870694), (-31.471389730455876, -64.56843590113986)]",Alma Gutierrez Cuesta,"Comuna de Tala Huasi, Pedanía San Roque, Departamento Punilla, Córdoba, X5166, Argentina","A la atención de los señores de SierraVolt Energética Limitada,\n\nMe dirijo a ustedes en nombre de mi representada, la señora Alma Gutierrez Cuesta, dueña de un terreno situado en la Comuna de Tala Huasi, Pedanía San Roque, Departamento Punilla, Córdoba, X5166, Argentina.\n\nDesafortunadamente, la propiedad de mi cliente ha padecido daños considerables a causa de un incendio forestal reciente. Si bien la parcela es de índole urbano, no había construcciones en el terreno, lo que ha ocasionado una acumulación importante de hollín y cenizas.\n\nLa señora Gutierrez Cuesta se ha visto obligada a contratar servicios de limpieza y restauración del terreno, generando gastos imprevistos y relevantes. Por ende, nos encontramos en la situación de presentar una reclamación por los perjuicios sufridos.\n\nEl importe total de los daños se eleva a $16.566.448 pesos argentinos. Dicha cifra incluye los costos de limpieza, restauración del terreno y otros gastos conexos.\n\nRogamos que esta solicitud sea tramitada con la mayor celeridad posible, para que mi cliente pueda iniciar la recuperación de su propiedad y paliar los efectos de este lamentable suceso.\n\nDesde ya, agradecemos su atención en este tema y aguardamos su respuesta a la brevedad.\n\nCordialmente,\n\n\n\nCórdoba, Argentina.",16566448.14,2519551,,
2449020,URBANO,VAL. URBANO,BALDIO,0.6,1500,1204668.0,1338.52,1204668.0,0.0,0.0,0.0,0.0,PUNILLA,SAN ROQUE,VILLA CARLOS PAZ,"[(-31.439434123292738, -64.51918289050505), (-31.438887837991764, -64.51885613186961)]",Rolando Iglesia Patiño,"Villa Carlos Paz, Municipio de Villa Carlos Paz, Pedanía San Roque, Departamento Punilla, Córdoba, X5166, Argentina","Apreciados representantes de SierraV Segura,\n\nMe presento, soy Rolando Iglesia Patiño, dueño de un terreno urbano situado en Villa Carlos Paz, Municipio de Villa Carlos Paz, Pedanía San Roque, Departamento Punilla, Córdoba, X5166, Argentina. Les escribo preocupado por los perjuicios ocasionados en mi propiedad debido a un reciente incendio forestal.\n\nDesafortunadamente, el terreno estaba desocupado, sin edificaciones, y la magnitud del incendio requirió una evacuación onerosa y compleja de la zona. Me encuentro en la obligación de presentar un reclamo por la suma de $7.775.382, que estimo necesaria para afrontar los costos de limpieza, reparación y restauración del terreno.\n\nConfío en que la empresa SierraV Segura me brinde el respaldo necesario en estos momentos complicados y me asista en la recuperación de mi propiedad en Villa Carlos Paz. Les agradezco de antemano su atención y comprensión en este tema.\n\nAguardo su respuesta a la brevedad.\n\nAtentamente,\n\nRolando Iglesia Patiño.",7775382.68,2449020,,
2448933,URBANO,VAL. URBANO,BALDIO,0.9,1500,1624320.0,1203.2,1624320.0,0.0,0.0,0.0,0.0,PUNILLA,SAN ROQUE,VILLA CARLOS PAZ,"[(-31.435057159404746, -64.52074316427279), (-31.43476271914317, -64.52028880531046)]",Ale Angelita Arias Blanco,"Villa Carlos Paz, Municipio de Villa Carlos Paz, Pedanía San Roque, Departamento Punilla, Córdoba, X5166, Argentina","Para los distinguidos representantes de SierraV Segura,\n\nSoy Ale Angelita Arias Blanco, dueña de un terreno situado en Villa Carlos Paz, Municipio de Villa Carlos Paz, Pedanía San Roque, Departamento Punilla, Córdoba, X5166, Argentina. Les escribo con una gran inquietud debido a los perjuicios que ha sufrido mi propiedad a raíz de un reciente incendio forestal.\n\nEl terreno de que hablo es urbano y, desafortunadamente, no tiene edificaciones. La situación es verdaderamente descorazonadora, ya que los árboles y la madera que se hallaban en la parcela han sido seriamente dañados por el fuego. La vegetación era un componente esencial de mi propiedad y su pérdida supone un fuerte golpe económico y emocional para mí.\n\nDada la situación que les describo, quisiera presentar una reclamación por el valor de $20.201.163, que considero apropiado para resarcir los daños padecidos en mi terreno. Les agradezco de antemano su atención y cooperación en este momento complicado y espero que podamos hallar una solución justa y a tiempo.\n\nAguardo su respuesta a la brevedad.\n\nCordialmente,\n\nAle Angelita Arias Blanco\nDueña en Villa Carlos Paz, Departamento Punilla, Córdoba.",20201163.26,2448933,,
1205390,URBANO,VAL. URBANO,EDIFICADO NoPH,0.9,665,2505008.1,705.0,421942.5,0.0,0.0,110.0,2083065.6,PUNILLA,SANTIAGO,VILLA ICHO CRUZ,"[(-31.46891017008904, -64.55019391604354), (-31.468542351975834, -64.54988305616533)]",Marco Barceló Luís," Los Nogales, Comuna de Mayu Sumaj, Pedanía Santiago, Departamento Punilla, Córdoba, X5166, Argentina","Pa' Volterra Seguros,\n\nSoy Marco Barceló Luís, dueño de un terreno urbano en Villa Icho Cruz, Departamento Punilla, Córdoba. Les escribo pa' presentar una reclamación por los daños sufridos en mi propiedad ubicada en Los Nogales, Comuna de Mayu Sumaj, Pedanía Santiago, Departamento Punilla, Córdoba, X5166, Argentina.\n\nHace poquito, un incendio forestal afectó la zona y causó daños considerables en mi terreno. Por suerte, no había construcciones en el lugar, pero la tierra ha quedado bastante deteriorada y con signos de desgaste. Me preocupa que esto pueda afectar el valor de mi propiedad y la posibilidad de construir en el futuro.\n\nEntonces, me gustaría pedir una indemnización por los daños sufridos, que ascienden a un total de $37.072.357. Agradezco de antemano su atención a este asunto y espero que podamos resolverlo de manera satisfactoria.\n\nEspero su pronta respuesta.\n\nSaludos cordiales,\n\nMarco Barceló Luís.",37072357.6,1205390,,
1141971,URBANO,VAL. URBANO,BALDIO,1.1,665,167513.5,229.0,167513.5,0.0,0.0,0.0,0.0,PUNILLA,SAN ROQUE,SAN ROQUE,"[(-31.334187255005705, -64.44760181131164), (-31.33403791003813, -64.44728039366822)]",Pía Ligia Valdés Morán," San Sebastián, Comuna de San Roque, Pedanía San Roque, Departamento Punilla, Córdoba, X5166, Argentina","A los representantes de SierraVolt Energética Limitada,\n\nNos ponemos en contacto con ustedes como abogados de la Sra. Pía Ligia Valdés Morán, dueña de un terreno situado en San Sebastián, Comuna de San Roque, Pedanía San Roque, Departamento Punilla, Córdoba, X5166, Argentina. El motivo de esta carta es presentar una demanda por los daños y perjuicios sufridos a causa de un incendio forestal en la región.\n\nEl terreno mencionado es de tipo urbano y, de acuerdo a nuestros archivos, se halla en condición de baldío, sin edificaciones. La localidad afectada es San Roque, que forma parte del departamento de Punilla, en la provincia de Córdoba.\n\nNuestra representada, la Sra. Valdés Morán, ha experimentado un fuerte impacto emocional y psicológico debido a la destrucción provocada por el incendio en su propiedad y en la comunidad en general. La pérdida de su terreno y la incertidumbre acerca del futuro de la zona han causado un profundo malestar en ella.\n\nPor consiguiente, en representación de la Sra. Pía Ligia Valdés Morán, solicitamos una compensación por daños y perjuicios, cuyo importe asciende a la suma de $131.149 pesos argentinos. Este monto se fundamenta en una evaluación de los daños padecidos y en el impacto emocional y psicológico que ha sufrido nuestra representada.\n\nAgradecemos su atención en este asunto y aguardamos una respuesta pronta por parte de SierraVolt Energética Limitada. De no obtener una respuesta satisfactoria en un plazo adecuado, nos veremos obligados a tomar las acciones legales correspondientes para asegurar los derechos e intereses de nuestra representada.\n\nSin más que agregar, nos despedimos cordialmente.\n\nLic. Juan Carlos Pérez\nEstudio Jurídico Pérez & Asociados",131149.88,1141971,,
2335841,URBANO,VAL. RURAL,BALDIO,,,3414768.0,0.0,0.0,40652.0,3414768.0,0.0,0.0,PUNILLA,SANTIAGO,VILLA ICHO CRUZ,"[(-31.465978590849865, -64.56711687665975), (-31.462882778954313, -64.56508983624651)]",Fermín Sanmiguel," Los Romerillos, Comuna de Villa Río Icho Cruz, Pedanía Santiago, Departamento Punilla, Córdoba, X5166, Argentina","Para los Estimados de Volterra Seguros,\n\nMe presento, soy Fermín Sanmiguel, dueño de un lote en Los Romerillos, Comuna de Villa Río Icho Cruz, Pedanía Santiago, Departamento Punilla, Córdoba, X5166, Argentina. Se trata de un terreno urbano, sin construcciones, en la localidad de Villa Icho Cruz, departamento Punilla.\n\nLes escribo para comunicarles un suceso lamentable que ha tenido lugar recientemente. Un fuego forestal devastó una gran parte de mi propiedad, dejándola en un estado lamentable. Este suceso ha interrumpido mis proyectos de desarrollo para el terreno, lo que ha supuesto una pérdida económica considerable para mí.\n\nPor ende, me gustaría presentar una reclamación por el valor de $84.288.835. Confío en que podamos solucionar este tema de manera rápida y eficaz.\n\nDesde ya, agradezco su atención a este asunto.\n\nCordialmente,\nFermín Sanmiguel.",84288835.51,2335841,,
1204121,URBANO,VAL. URBANO,BALDIO,0.5,840,1590960.0,3788.0,1590960.0,0.0,0.0,0.0,0.0,PUNILLA,SANTIAGO,VILLA ICHO CRUZ,"[(-31.463630760207522, -64.56837330652026), (-31.462792413220807, -64.56758038296368)]",María Teresa Crespo Artigas," Los Romerillos, Comuna de Villa Río Icho Cruz, Pedanía Santiago, Departamento Punilla, Córdoba, X5166, Argentina","Para los estimados representantes de SierraV Segura,\n\nMe presento, soy María Teresa Crespo Artigas, dueña de un terreno situado en Los Romerillos, Comuna de Villa Río Icho Cruz, Pedanía Santiago, Departamento Punilla, Córdoba, X5166, Argentina. Les escribo con mucha preocupación a raíz de los perjuicios ocasionados en mi propiedad por un reciente incendio forestal.\n\nEl lote en cuestión es de carácter urbano y, desafortunadamente, estaba desocupado en el momento del siniestro. La localidad de Villa Icho Cruz, donde se halla mi propiedad, ha sido seriamente afectada por las llamas, lo cual ha interrumpido mis planes de construcción y desarrollo en el área.\n\nA causa de esta situación, me veo obligada a presentar un reclamo por la suma de $57.360.344, monto que estimo necesario para subsanar los daños provocados y continuar con mis proyectos en el terreno damnificado.\n\nDesde ya, agradezco su atención y comprensión en estos momentos difíciles. Aguardo ansiosa su pronta respuesta y una resolución favorable a mi solicitud.\n\nCordialmente,\n\nMaría Teresa Crespo Artigas.",57360344.85,1204121,,
1204123,URBANO,VAL. URBANO,BALDIO,0.5,840,1454040.0,3462.0,1454040.0,0.0,0.0,0.0,0.0,PUNILLA,SANTIAGO,VILLA ICHO CRUZ,"[(-31.463498216133168, -64.56802927842902), (-31.462603735802805, -64.56735413200147)]",,"Los Romerillos, Comuna de Villa Río Icho Cruz, Pedanía Santiago, Departamento Punilla, Córdoba, X5166, Argentina","Para los distinguidos representantes de Aseguradora del Norte,\n\nMe presento, soy Corona Borja Torrent, dueño de un lote situado en Los Romerillos, Comuna de Villa Río Icho Cruz, Pedanía Santiago, Departamento Punilla, Córdoba, X5166, Argentina. Me veo en la necesidad de contactarlos para presentar una queja por los perjuicios ocasionados en mi propiedad a causa de un reciente incendio forestal.\n\nEl lote en cuestión es de carácter urbano y, desafortunadamente, se halla en estado de baldío, sin edificaciones registradas. La localidad afectada es Villa Icho Cruz, que pertenece al departamento de Punilla.\n\nComo consecuencia del siniestro, he evaluado los daños y he determinado que la suma necesaria para cubrir las pérdidas y reparaciones asciende a un valor menor a $52.469.166. Desafortunadamente, he comprobado que mi póliza de seguro actual no alcanza para cubrir la totalidad de los gastos que este lamentable suceso ha generado.\n\nPor ende, solicito de manera formal a Aseguradora del Norte que analice mi situación y proceda con el desembolso correspondiente a los daños sufridos en mi propiedad, conforme a los términos y condiciones de mi póliza de seguro.\n\nDesde ya, agradezco su atención y cooperación en este asunto. Aguardo su pronta respuesta y una resolución favorable.\n\nCordialmente,\n\nCorona Borja Torrent\nDueño",52469166.84,1204123,,
1204524,URBANO,VAL. URBANO,EDIFICADO NoPH,0.9,770,4545173.62,1178.0,816354.0,0.0,0.0,202.0,3728819.62,PUNILLA,SANTIAGO,VILLA ICHO CRUZ,"[(-31.46678304838769, -64.54430903104924), (-31.46643097201405, -64.54380451204399)]",,"Los Nogales, Comuna de Mayu Sumaj, Pedanía Santiago, Departamento Punilla, Córdoba, X5166, Argentina","Para los distinguidos representantes de Aseguradora del Norte,\n\nMe presento, soy Valero López Capdevila, dueño de un terreno situado en Los Nogales, Comuna de Mayu Sumaj, Pedanía Santiago, Departamento Punilla, Córdoba, X5166, Argentina. Me veo en la necesidad de contactarlos para presentar una reclamación por los daños ocasionados en mi propiedad a causa de un incendio forestal.\n\nEl terreno en cuestión es de carácter urbano y, de acuerdo a los registros, no posee construcciones. Se ubica en la localidad de Villa Icho Cruz, perteneciente al departamento de Punilla. Desafortunadamente, el incendio ha provocado daños considerables en la vegetación y el ambiente natural del lugar, lo que ha repercutido en el valor de mi propiedad.\n\nComo titular de una póliza de seguro con Aseguradora del Norte, solicito su apoyo para cubrir los costos de restauración y recuperación del terreno, así como para implementar las medidas necesarias para prevenir incidentes futuros de la misma índole. El monto que reclamo por los daños sufridos asciende a $28.093.554 pesos argentinos.\n\nDesde ya, agradezco su atención a este asunto y aguardo su pronta respuesta para coordinar los próximos pasos en el proceso de reclamación.\n\nCordialmente,\n\nValero López Capdevila.",28093554.46,1204524,,
1199984,RURAL,VAL. RURAL,EDIFICADO NoPH,,,16314312.55,0.0,0.0,10535.0,2157041.25,712.0,14157271.3,PUNILLA,SANTIAGO,,"[(-31.473470953693305, -64.55652526385201), (-31.471626592643695, -64.55511390371231)]",,"Los Romerillos, Comuna de Villa Río Icho Cruz, Pedanía Santiago, Departamento Punilla, Córdoba, Argentina","Apreciados miembros de Aseguradora del Norte,\n\nMe presento, soy Cleto Camps Montoya, dueño de un terreno rural situado en Los Romerillos, Comuna de Villa Río Icho Cruz, Pedanía Santiago, Departamento Punilla, Córdoba, Argentina. Me pongo en contacto con ustedes para elevar una queja por los perjuicios ocasionados en mi propiedad.\n\nHace poco, mi parcela sufrió un incendio forestal arrasador que provocó daños considerables. La vegetación que cubría mi terreno, incluidos numerosos árboles de madera de excelente calidad, fue devorada por el fuego. Este suceso ha afectado de manera importante el valor de mi propiedad y mi posibilidad de utilizarla según lo planeado.\n\nCabe destacar que en mi parcela no hay construcciones, por lo que los perjuicios se circunscriben únicamente a la vegetación y a los recursos naturales existentes en el terreno. No obstante, la pérdida de estos recursos implica un daño económico relevante.\n\nPor consiguiente, me veo obligado a presentar una queja por el monto de los perjuicios ocasionados, que asciende a $299.327.120. Esta cifra refleja el valor de los árboles y la madera perdidos en el incendio, así como el costo de la reforestación y la recuperación del terreno.\n\nLes agradezco de antemano su atención a esta queja y confío en que Aseguradora del Norte abordará este tema con la seriedad y la diligencia que distinguen a su compañía. Me encuentro a su disposición para brindar cualquier información adicional que puedan necesitar para el trámite de mi queja.\n\nCordialmente,\n\nCleto Camps Montoya\nDueño",299327120.08,1199984,,
